,gender,attractiveness,likes,matches
331,FEMALE,0.8639570678449985,342,14
332,FEMALE,0.20004918316041498,49,3
333,MALE,0.9240836875834697,29,17
334,MALE,0.17802033074221657,0,0
335,MALE,0.4328788376834982,0,0
336,MALE,0.24245840084503612,0,0
337,MALE,0.8162306858160013,11,6
338,MALE,0.584615286824705,2,1
339,MALE,0.06663540202586382,0,0
340,MALE,0.6202173417692602,3,2
341,MALE,0.5841599750470148,4,2
342,MALE,0.1314742411994405,0,0
343,MALE,0.3608826278483913,1,1
344,MALE,0.5916653073370374,3,2
345,MALE,0.038605723362864386,0,0
346,MALE,0.6215200562919793,7,7
347,MALE,0.8775788061144867,23,13
348,MALE,0.0482211125350398,0,0
349,MALE,0.9576288305239222,41,20
350,MALE,0.6124248284285393,0,0
351,MALE,0.12006121790725754,0,0
352,MALE,0.2583410081010934,0,0
353,MALE,0.9846267507015815,47,23
354,MALE,0.20724750582523255,0,0
355,MALE,0.4562463219731536,2,1
356,MALE,0.47001298620641596,0,0
357,MALE,0.08287389700796421,0,0
358,MALE,0.810071785903283,16,9
359,MALE,0.5576675819912432,2,2
360,MALE,0.0067253367387808405,0,0
361,MALE,0.5312638028258172,2,0
362,MALE,0.2651702214973243,0,0
363,MALE,0.8006872264161994,11,6
364,MALE,0.6255195047382358,4,2
365,MALE,0.570498895518378,2,1
366,MALE,0.9609221984273746,39,24
367,MALE,0.7711642213808665,8,2
368,MALE,0.924708153639648,37,23
369,MALE,0.16719662994101836,0,0
370,MALE,0.4483226936468526,0,0
371,MALE,0.9054732228890217,23,11
372,MALE,0.4871636885116587,0,0
373,MALE,0.9726083709228175,43,26
374,MALE,0.018515085979102786,0,0
375,MALE,0.7087911396424577,3,2
376,MALE,0.4924348778265528,0,0
377,MALE,0.4753594100268972,0,0
378,MALE,0.24475153602777167,0,0
379,MALE,0.11436238584637826,0,0
380,MALE,0.4372083199060467,0,0
381,MALE,0.2148234360250717,0,0
382,MALE,0.23100943930797246,0,0
383,MALE,0.14186028006039475,0,0
